stadium,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
Elland Road,1997-11-08,7.2,4.8,8.8,nan,nan,28.0,12.5,nan,nan,nan
Elland Road,1997-12-28,5.1,3.8,6.8,nan,nan,258.0,23.9,nan,nan,nan
Elland Road,1998-02-28,2.3,0.8,4.8,nan,nan,269.0,25.7,nan,nan,nan
Elland Road,1998-03-11,6.6,2.8,8.8,nan,nan,322.0,27.0,nan,nan,nan
Elland Road,1998-08-24,13.1,9.8,15.8,nan,nan,318.0,19.8,nan,nan,nan
Elland Road,1998-10-25,7.5,4.8,10.8,nan,nan,278.0,40.2,nan,nan,nan
Elland Road,1999-02-20,6.1,4.8,7.8,nan,nan,257.0,29.8,nan,nan,nan
Elland Road,1999-03-20,7.0,4.8,8.8,nan,nan,268.0,22.3,nan,nan,nan
Elland Road,1999-04-25,11.2,8.8,14.8,nan,nan,120.0,14.0,nan,nan,nan
Elland Road,1999-10-16,11.4,9.8,13.8,nan,nan,nan,nan,nan,nan,nan
Elland Road,1999-11-28,11.6,7.8,12.8,nan,nan,215.0,35.9,nan,nan,nan
Elland Road,2000-01-03,7.8,4.8,10.8,nan,nan,239.0,26.5,nan,nan,nan
Elland Road,2000-03-05,4.3,-0.2,8.8,nan,nan,247.0,22.5,nan,nan,nan
Elland Road,2000-03-19,6.5,-0.2,12.8,nan,nan,276.0,16.1,nan,nan,nan
Elland Road,2000-04-16,5.3,0.8,9.8,nan,nan,nan,nan,nan,nan,nan
Elland Road,2000-05-03,7.9,6.8,8.8,nan,nan,20.0,19.7,nan,nan,nan
Elland Road,2000-08-19,14.7,11.8,17.8,nan,nan,nan,nan,nan,nan,nan
Elland Road,2000-09-05,15.2,12.8,18.8,nan,nan,nan,nan,nan,nan,nan
Elland Road,2000-09-16,14.1,11.8,16.8,nan,nan,300.0,21.8,nan,nan,nan
Elland Road,2000-10-14,10.8,8.8,12.8,nan,nan,207.0,11.7,nan,nan,nan
Elland Road,2000-11-26,6.8,5.8,7.8,nan,nan,239.0,28.0,nan,nan,nan
Elland Road,2000-12-16,0.5,-1.2,1.8,nan,nan,nan,nan,nan,nan,nan
Elland Road,2000-12-23,3.3,2.8,4.8,nan,nan,nan,nan,nan,nan,nan
