,Season_End_Year,Wk,Date,Team,HomeGoals,AwayGoals,Away,FTR,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,Country,stadium,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
51,1995,27,1995-02-04,Coventry City,2,2,Chelsea,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-02-04,6.9,2.8,11.3,,,,11.2,,1024.8,
52,1995,29,1995-02-18,Coventry City,2,0,West Ham,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-02-18,6.0,2.7,9.1,,,232.0,21.5,,1009.3,
53,1995,31,1995-02-25,Coventry City,4,2,Leicester City,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-02-25,4.4,1.8,7.2,,,308.0,12.6,,995.3,
54,1995,34,1995-03-11,Coventry City,1,1,Blackburn,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-03-11,7.6,5.2,10.4,,,202.0,11.1,,1012.6,
55,1995,36,1995-04-01,Coventry City,0,1,QPR,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-04-01,14.8,11.7,19.4,,,259.0,16.4,,1030.1,
56,1995,38,1995-04-15,Coventry City,2,0,Sheffield Weds,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-04-15,10.0,7.3,12.4,,,325.0,20.4,,1026.4,
57,1995,42,1995-05-14,Coventry City,0,0,Everton,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-05-14,7.8,2.0,12.6,,,259.0,10.1,,1020.5,
58,1996,2,1995-08-23,Coventry City,2,1,Manchester City,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-08-23,18.2,15.2,22.1,,,323.0,9.1,,1014.1,
59,1996,3,1995-08-26,Coventry City,0,0,Arsenal,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-08-26,18.2,15.1,21.6,,,284.0,15.6,,1016.9,
60,1996,5,1995-09-09,Coventry City,1,1,Nott'ham Forest,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-09-09,15.8,11.6,19.8,,,248.0,13.4,,1006.9,
61,1996,8,1995-09-30,Coventry City,0,3,Aston Villa,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-09-30,9.9,2.5,15.5,,,,7.7,,1014.6,
62,1996,10,1995-10-21,Coventry City,0,1,Sheffield Weds,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-10-21,6.9,1.0,13.5,,,,6.0,,1029.3,
63,1996,12,1995-11-04,Coventry City,2,3,Tottenham,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-11-04,3.0,-1.6,9.9,,,,4.5,,,
64,1996,14,1995-11-22,Coventry City,0,4,Manchester Utd,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-11-22,8.7,5.8,11.1,,,241.0,10.1,,,
65,1996,15,1995-11-25,Coventry City,3,3,Wimbledon,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-11-25,9.5,8.0,11.0,,,168.0,13.5,,999.1,
66,1996,17,1995-12-09,Coventry City,5,0,Blackburn,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-12-09,-1.8,-6.5,5.3,,,,2.3,,1035.0,
67,1996,19,1995-12-23,Coventry City,2,1,Everton,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1995-12-23,3.0,1.3,4.8,,,30.0,14.1,,990.4,
68,1996,22,1996-01-01,Coventry City,1,1,Southampton,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1996-01-01,2.0,1.1,2.9,,,,4.0,,,
69,1996,23,1996-01-14,Coventry City,0,1,Newcastle Utd,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1996-01-14,8.4,6.4,9.9,,,137.0,18.4,,,
70,1996,26,1996-02-10,Coventry City,1,0,Chelsea,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1996-02-10,6.1,3.6,8.2,,,199.0,22.4,,996.9,
71,1996,28,1996-02-24,Coventry City,0,0,Middlesbrough,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1996-02-24,6.5,5.3,7.8,,,214.0,18.5,,,
72,1996,29,1996-03-02,Coventry City,2,2,West Ham,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1996-03-02,6.5,5.3,8.1,,,330.0,12.4,,1029.8,
73,1996,31,1996-03-16,Coventry City,0,2,Bolton,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1996-03-16,2.9,1.0,4.3,,,62.0,9.5,,1010.9,
74,1996,34,1996-04-06,Coventry City,1,0,Liverpool,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1996-04-06,4.6,1.6,7.3,,,19.0,10.9,,1019.9,
75,1996,36,1996-04-13,Coventry City,1,0,QPR,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1996-04-13,4.7,0.8,10.4,,,92.0,14.0,,1020.6,
76,1996,38,1996-05-05,Coventry City,0,0,Leeds United,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1996-05-05,6.4,-1.6,11.8,,,,3.0,,1019.5,
77,1997,4,1996-09-04,Coventry City,0,1,Liverpool,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1996-09-04,14.7,12.1,17.4,,,57.0,17.2,,1026.4,
